Metabolite_name	RefMet_name	Tk_large_AU_65C_rep1-r001	Tk_large_AU_65C_rep1-r002	Tk_large_AU_65C_rep2-r001	Tk_large_AU_65C_rep2-r002	Tk_large_AU_65C_rep3-r001	Tk_large_AU_65C_rep3-r002	Tk_large_GC_65C_rep1-r001	Tk_large_GC_65C_rep1-r002	Tk_large_GC_65C_rep2-r001	Tk_large_GC_65C_rep2-r002	Tk_large_GC_65C_rep3-r001	Tk_large_GC_65C_rep3-r002	Tk_large_pseudoU_65C_rep1-r001	Tk_large_pseudoU_65C_rep2-r001	Tk_large_pseudoU_65C_rep3-r001	Tk_mRNA_65C_rep1	Tk_mRNA_75C_rep1	Tk_mRNA_85C_rep1	Tk_small_AU_65C_rep1-r001	Tk_small_AU_65C_rep1-r002	Tk_small_AU_65C_rep2-r001	Tk_small_AU_65C_rep2-r002	Tk_small_AU_65C_rep3-r001	Tk_small_AU_65C_rep3-r002	Tk_small_GC_65C_rep1-r001	Tk_small_GC_65C_rep1-r002	Tk_small_GC_65C_rep2-r001	Tk_small_GC_65C_rep2-r002	Tk_small_GC_65C_rep3-r001	Tk_small_GC_65C_rep3-r002	Tk_small_pseudoU_65C_rep1-r001	Tk_small_pseudoU_65C_rep2-r001	Tk_small_pseudoU_65C_rep3-r001	Tk_total_AU_65C_rep1-r001	Tk_total_AU_65C_rep1-r002	Tk_total_AU_65C_rep2-r001	Tk_total_AU_65C_rep2-r002	Tk_total_AU_65C_rep3-r001	Tk_total_AU_65C_rep3-r002	Tk_total_GC_65C_rep1-r001	Tk_total_GC_65C_rep1-r002	Tk_total_GC_65C_rep2-r001	Tk_total_GC_65C_rep2-r002	Tk_total_GC_65C_rep3-r001	Tk_total_GC_65C_rep3-r002	Tk_total_pseudoU_65C_rep1-r001	Tk_total_pseudoU_65C_rep1-r002	Tk_total_pseudoU_65C_rep2-r001	Tk_total_pseudoU_65C_rep3-r001	Tk_large_AU_75C_rep1-r001	Tk_large_AU_75C_rep1-r002	Tk_large_AU_75C_rep2-r001	Tk_large_AU_75C_rep2-r002	Tk_large_AU_75C_rep3-r001	Tk_large_AU_75C_rep3-r002	Tk_large_GC_75C_rep1-r001	Tk_large_GC_75C_rep1-r002	Tk_large_GC_75C_rep2-r001	Tk_large_GC_75C_rep2-r002	Tk_large_GC_75C_rep3-r001	Tk_large_GC_75C_rep3-r002	Tk_large_pseudoU_75C_rep1-r001	Tk_large_pseudoU_75C_rep2-r001	Tk_large_pseudoU_75C_rep3-r001	Tk_mRNA_65C_rep2	Tk_mRNA_75C_rep2	Tk_mRNA_95C_rep1	Tk_small_AU_75C_rep1-r001	Tk_small_AU_75C_rep1-r002	Tk_small_AU_75C_rep2-r001	Tk_small_AU_75C_rep2-r002	Tk_small_AU_75C_rep3-r001	Tk_small_AU_75C_rep3-r002	Tk_small_GC_75C_rep1-r001	Tk_small_GC_75C_rep1-r002	Tk_small_GC_75C_rep2-r001	Tk_small_GC_75C_rep2-r002	Tk_small_GC_75C_rep3-r001	Tk_small_GC_75C_rep3-r002	Tk_small_pseudoU_75C_rep1-r001	Tk_small_pseudoU_75C_rep2-r001	Tk_small_pseudoU_75C_rep3-r001	Tk_total_AU_75C_rep1-r001	Tk_total_AU_75C_rep1-r002	Tk_total_AU_75C_rep2-r001	Tk_total_AU_75C_rep2-r002	Tk_total_AU_75C_rep3-r001	Tk_total_AU_75C_rep3-r002	Tk_total_GC_75C_rep1-r001	Tk_total_GC_75C_rep1-r002	Tk_total_GC_75C_rep2-r001	Tk_total_GC_75C_rep2-r002	Tk_total_GC_75C_rep3-r001	Tk_total_GC_75C_rep3-r002	Tk_total_pseudoU_75C_rep1-r001	Tk_total_pseudoU_75C_rep1-r002	Tk_total_pseudoU_75C_rep2-r001	Tk_total_pseudoU_75C_rep3-r001	Tk_large_AU_85C_rep1-r001	Tk_large_AU_85C_rep1-r002	Tk_large_AU_85C_rep2-r001	Tk_large_AU_85C_rep2-r002	Tk_large_AU_85C_rep3-r001	Tk_large_AU_85C_rep3-r002	Tk_large_GC_85C_rep1-r001	Tk_large_GC_85C_rep1-r002	Tk_large_GC_85C_rep2-r001	Tk_large_GC_85C_rep2-r002	Tk_large_GC_85C_rep3-r001	Tk_large_GC_85C_rep3-r002	Tk_large_pseudoU_85C_rep1-r001	Tk_large_pseudoU_85C_rep2-r001	Tk_large_pseudoU_85C_rep3-r001	Tk_mRNA_65C_rep3	Tk_mRNA_85C_rep2	Tk_mRNA_95C_rep2	Tk_small_AU_85C_rep1-r001	Tk_small_AU_85C_rep1-r002	Tk_small_AU_85C_rep2-r001	Tk_small_AU_85C_rep2-r002	Tk_small_AU_85C_rep3-r001	Tk_small_AU_85C_rep3-r002	Tk_small_GC_85C_rep1-r001	Tk_small_GC_85C_rep1-r002	Tk_small_GC_85C_rep2-r001	Tk_small_GC_85C_rep2-r002	Tk_small_GC_85C_rep3-r001	Tk_small_GC_85C_rep3-r002	Tk_small_pseudoU_85C_rep1-r001	Tk_small_pseudoU_85C_rep2-r001	Tk_small_pseudoU_85C_rep3-r001	Tk_total_AU_85C_rep1-r001	Tk_total_AU_85C_rep1-r002	Tk_total_AU_85C_rep2-r001	Tk_total_AU_85C_rep2-r002	Tk_total_AU_85C_rep3-r001	Tk_total_AU_85C_rep3-r002	Tk_total_GC_85C_rep1-r001	Tk_total_GC_85C_rep1-r002	Tk_total_GC_85C_rep2-r001	Tk_total_GC_85C_rep2-r002	Tk_total_GC_85C_rep3-r001	Tk_total_GC_85C_rep3-r002	Tk_total_pseudoU_85C_rep1-r001	Tk_total_pseudoU_85C_rep1-r002	Tk_total_pseudoU_85C_rep2-r001	Tk_total_pseudoU_85C_rep3-r001	Tk_large_AU_95C_rep1-r001	Tk_large_AU_95C_rep1-r002	Tk_large_AU_95C_rep2-r001	Tk_large_AU_95C_rep2-r002	Tk_large_AU_95C_rep3-r001	Tk_large_AU_95C_rep3-r002	Tk_large_GC_95C_rep1-r001	Tk_large_GC_95C_rep1-r002	Tk_large_GC_95C_rep2-r001	Tk_large_GC_95C_rep2-r002	Tk_large_GC_95C_rep3-r001	Tk_large_GC_95C_rep3-r002	Tk_large_pseudoU_95C_rep1-r001	Tk_large_pseudoU_95C_rep2-r001	Tk_large_pseudoU_95C_rep3-r001	Tk_mRNA_75C_rep3	Tk_mRNA_85C_rep3	Tk_mRNA_95C_rep3	Tk_small_AU_95C_rep1-r001	Tk_small_AU_95C_rep1-r002	Tk_small_AU_95C_rep2-r001	Tk_small_AU_95C_rep2-r002	Tk_small_AU_95C_rep3-r001	Tk_small_AU_95C_rep3-r002	Tk_small_GC_95C_rep1-r001	Tk_small_GC_95C_rep1-r002	Tk_small_GC_95C_rep2-r001	Tk_small_GC_95C_rep2-r002	Tk_small_GC_95C_rep3-r001	Tk_small_GC_95C_rep3-r002	Tk_small_pseudoU_95C_rep1-r001	Tk_small_pseudoU_95C_rep2-r001	Tk_small_pseudoU_95C_rep3-r001	Tk_total_AU_95C_rep1-r001	Tk_total_AU_95C_rep1-r002	Tk_total_AU_95C_rep2-r001	Tk_total_AU_95C_rep2-r002	Tk_total_AU_95C_rep3-r001	Tk_total_AU_95C_rep3-r002	Tk_total_GC_95C_rep1-r001	Tk_total_GC_95C_rep1-r002	Tk_total_GC_95C_rep2-r001	Tk_total_GC_95C_rep2-r002	Tk_total_GC_95C_rep3-r001	Tk_total_GC_95C_rep3-r002	Tk_total_pseudoU_95C_rep1-r001	Tk_total_pseudoU_95C_rep1-r002	Tk_total_pseudoU_95C_rep2-r001	Tk_total_pseudoU_95C_rep3-r001
Factors	-	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:65C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:75C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:85C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C	Sample source:T. kodakarensis cells | Growth temperature:95C
1_2^-O-dimethyladenosine		0.9615	2.9343	1.7735	8.5609	6.0818	5.0224	6.0309	2.9859	1.5224	2.2074	3.4945	14.1276	17.3239	11.9567	34.5323	2.9888	8.7887	4.4991	11.6437	5.6818	9.8668	2.3083	1.7379	3.3787	2.0622	4.0068	2.6968	5.6968	7.3060	1.3324	17.7227	20.2661	16.8109	5.7691	4.8754	6.1030	3.8078	4.9702	13.7356	2.7968	2.6187	4.8638	9.8937	4.9384		6.5275	1.7892	12.7427	14.5469	6.0840	1.9408	4.2044	5.5476	2.5897	3.3702	3.5762	5.2061	14.6375	6.3463	2.8537	3.3628	8.2654	8.0691	9.7509	8.2151	6.2254	3.9335	8.7672	3.5922	5.2745	5.5047	8.1794	6.9352	2.6326	2.9862	5.4283	8.6932	8.4941	3.3934	30.3809	37.9473	21.1462	8.0512	15.2771	1.4930	3.8655	11.3732	12.4847	5.1455	7.0827	1.4388	1.6051	1.8450	1.3997	1.2474	10.8689	7.7717	5.5745		6.9888	6.5876	7.5571	2.6417	1.8394	1.9283	2.0309	1.5169	7.5054	1.4797	3.2148	2.4442	8.1830	9.8113	4.7068	3.4022	4.9741	15.7149	9.2711	13.9378	10.7500	7.4959	8.2819	4.2988	2.0719	10.1773	5.3061	1.6413	15.2663	21.7933	33.5302	34.1956	3.4108	1.1815	3.6549	4.9580	12.6476	7.0150	1.1312	2.8847	2.7321	3.9404	9.8975	11.1029	21.4564	3.8539	13.5697	2.5559	6.1585	5.4117	1.8941	5.4041	1.6318	5.0470	5.3259	3.2580	3.6319	11.7305	2.7007	4.7286	7.1677	5.2709	27.8431	8.4468	9.2427	5.5876	8.0101	7.7607	26.7545	2.3042	5.1406	2.1842	15.0045	1.1905	5.0435	3.2614	10.6287	3.4131	17.2793	21.5648	14.7110	8.5742	3.9216	3.5644	2.3849	4.1424	9.5393	0.6537	7.0310	12.5656	3.7354	2.4716	7.7728	21.9999	14.3578	6.3145	9.5854
1-methyladenosine	1-Methyladenosine	10790.0372	11425.5104	6286.4575	6296.7859	9095.3970	9293.0603	4653.9508	4744.0249	2838.1993	2869.1630	4144.5548	3892.4403	162506.3541	97267.4379	128954.3931	2057.0623	740.9195	969.7179	1026892.3630	999818.2541	902239.1930	890855.9307	955550.9387	957052.1448	677867.9808	674048.6243	668613.7816	668059.7850	710913.3787	707523.4045	8419801.8700	8595615.3430	9042134.2780	193518.7204	196487.0592	169620.8830	168728.7800	231504.0588	239563.2596	100622.3516	99119.8533	65724.9315	68522.1329	69882.7281	74065.1136	2242719.2700	69723.5877	1794981.6530	2313118.5280	6256.6183	6469.4608	10164.8910	9871.8694	9501.6332	9881.9793	2902.5789	2973.8860	4589.9477	4557.0394	4294.3255	4449.6428	94760.2014	145357.1343	134306.6208	979.1191	1001.3127	1553.0892	1097907.7610	1086959.2820	1028454.0350	1011829.4680	1036279.3610	1042314.1800	706801.8875	709417.8842	734432.3129	732836.8028	761964.6080	760467.0980	8974879.6450	9522712.9130	9796972.2780	158978.0681	161719.6238	205853.4753	206013.3001	229827.3163	234240.2305	79653.5269	80060.7869	83388.4828	85795.2278	71033.7201	71399.4713	1785110.3390	26707.8715	2219918.8260	2290329.2070	9390.4724	9575.6227	6391.6855	6517.4340	8780.8008	8744.5989	4248.3648	4006.6589	2828.0537	2787.2164	3815.2258	3885.0493	138837.6989	90228.9292	120427.8312	1061.0890	735.6572	1744.5080	816876.6075	810232.8539	936938.6043	935899.4534	947494.6591	952970.8373	556295.2392	556575.7498	673365.4179	679875.2451	691348.7612	692711.6699	7015198.5190	8717844.8080	8934156.4190	178212.9015	178592.3902	175952.4836	173086.0169	225981.8757	221915.6940	93427.1271	91939.6504	69343.6827	69828.1234	68661.9942	69022.2407	2137802.1260	122623.1991	1868645.9470	2226748.6630	6998.2695	7063.6667	6169.7469	5976.7657	6458.5411	6458.1614	3068.4382	3186.4728	2526.0455	2670.6634	3033.3280	2884.3870	20074.8480	83207.4552	88272.1124	885.6234	769.8342	704.1035	845298.0378	852692.4549	1037600.0190	1050532.1610	789028.3024	791721.0931	581564.9703	593287.0944	757180.4566	763367.8469	583329.2473	584656.0411	7395046.0130	9607678.5950	7679118.6710	174188.9496	176883.6390	166406.3019	169042.6154	214781.1163	214702.4911	87250.8282	88980.2370	65914.3554	69076.2777	65274.0027	66903.4512	2063850.2490	282544.5300	1782598.5560	2131147.7570
1-methylguanosine	1-Methylguanosine	739.4207	701.3128	510.2228	458.5112	542.3199	630.9144	352.0658	309.1467	215.5711	149.9505	258.6842	300.2231	9907.7911	6514.2484	6581.0967	50.8104	132.6024	44.5142	99183.0603	97283.2469	86626.9685	85080.1267	92630.5810	91526.8105	58719.0593	58240.3326	65577.1268	63042.9080	67844.4404	66047.0678	763662.1315	628585.5244	677525.1877	8287.5939	8019.2553	19315.8463	19444.8860	25433.9253	25819.8559	4047.9982	4030.1225	7984.7653	8277.9581	8345.2963	8772.6086	220624.0130	6893.7742	203120.8061	276045.9012	405.5423	473.6786	676.7415	667.9218	570.2280	607.8118	265.2544	225.9035	297.9474	314.5641	201.3984	238.1811	6341.2669	9053.2216	6427.9196	209.4635	14.4498	19.3660	98011.3517	98200.1970	94567.7238	94294.0408	95765.8860	95440.4175	58289.0163	58660.7933	68510.4693	68548.7707	70067.1113	68880.1321	771571.7395	675342.1771	693776.8051	6483.4801	6432.4194	23036.0398	22992.6689	24291.0971	24564.0502	3181.5738	3294.1434	9845.9528	9877.4852	8423.1375	8120.6925	167514.4385	2335.4958	239723.2854	263060.1071	712.3400	691.7571	553.0515	467.1233	624.7011	699.5415	372.7901	301.2377	247.6110	214.6535	224.9409	274.8573	9822.1799	6637.3471	7714.0591	231.3445	243.3116	553.0376	76402.9800	75588.4958	88365.3347	89326.3471	87686.1688	88714.1329	49642.4799	48956.5472	64097.8965	65192.8931	65198.1275	64853.7968	627576.1815	619682.3696	627009.0368	7686.6169	7749.4723	20657.5122	20168.1563	24286.8604	24423.5118	4157.2946	3838.8650	7978.6018	8046.8815	8252.8072	8244.0183	206372.8347	12594.5577	206638.1528	255091.5856	812.0057	764.4421	732.7651	666.9390	776.8163	825.9281	303.1648	425.6763	290.3333	304.3607	384.7543	290.1177	1793.2863	8683.1878	10469.5740	307.6282	42.8636	50.6913	78874.2850	78960.1999	102871.8303	103528.2723	75424.6879	75118.0690	51622.9539	51465.6433	74900.6142	75503.1307	54766.7006	55740.3765	665735.8539	729361.0652	553025.5134	7348.1770	7678.7637	20039.9880	20579.3165	24437.0766	24504.1062	3588.4996	3742.1416	8127.9743	8381.9194	8179.9915	8228.8901	205147.5717	27942.8239	207609.5186	262647.6767
1-methylinosine	1-Methylinosine	2030.8784	1996.0016	1148.9474	1125.9620	1512.1731	1436.3179	858.9315	912.2412	548.7062	564.2164	623.6615	618.6243	27578.2405	15340.9384	14471.9782	226.3313	99.9621	103.0818	121019.6445	117966.2077	113240.9503	111927.0358	121171.8694	120231.1486	71602.1455	70326.2088	84048.9208	83517.9009	87906.9766	85979.5106	899471.4791	766416.8680	815213.6603	12419.6901	12357.1869	28600.8324	28907.5843	36288.9870	37206.4740	6303.5901	6296.0647	11820.9667	12333.4963	12883.1856	13519.6426	305392.0521	9637.8266	293160.7885	408650.9267	1004.5448	1025.1876	1654.3138	1575.5600	1251.4085	1372.1205	489.1858	496.4080	728.6536	727.4588	576.8469	582.7335	14322.1098	20994.3486	13402.9456	111.8981	122.7513	176.6263	128303.8272	127271.2390	126522.1051	126846.3975	127372.7913	126199.5667	75466.5713	75216.2234	89927.1033	89424.3278	91317.5788	91150.1182	936248.0766	843696.9260	864797.7955	9795.4724	10004.7553	34800.3614	34653.3780	34485.6783	35555.7347	4946.0539	4935.9667	14369.1505	14994.2217	12722.8412	12763.9473	234189.2016	3525.6768	350984.7349	399252.7691	1800.3025	1802.8281	1177.1016	1193.5458	1454.7812	1564.2998	759.2220	822.6234	476.9254	521.4091	661.4211	704.4526	24485.3632	14583.9561	15347.9356	109.2917	173.1768	208.9285	99928.7835	96812.4708	122022.3619	121762.2027	120863.5559	117084.8258	63099.7578	62471.2407	87637.9447	88831.5614	86329.8473	86154.2573	760462.4666	793849.0094	797698.5063	12020.6390	11995.4690	31208.5530	31001.4672	36518.6127	35577.0695	6161.0743	5872.2585	12550.9286	12613.5812	12894.8320	12857.8651	296155.0943	17310.5982	308540.4038	399768.9614	1509.9015	1526.2722	1200.0402	1260.4226	1377.4656	1300.6238	621.0352	683.1219	555.1048	486.4275	653.4659	591.5321	2874.1173	14454.5425	13496.5895	128.4303	143.1525	76.9203	94865.0227	95288.7493	130018.7910	129197.3693	94218.1800	93121.0610	63219.2764	63470.2384	92696.6215	93604.2453	69470.9607	68003.1074	777170.7069	855045.2550	646258.9721	10764.7803	11348.0638	28291.5087	28871.5720	32689.4242	32249.6611	5637.0583	5718.2685	11521.2533	12012.7454	11727.7522	12125.6506	268169.2674	37596.9413	281304.0597	372735.0226
